entity_id,query_title,resolved_title,page_exists,level_verified,matched_categories,matched_intro_terms,wikidata_id,matched_instance_classes,page_id,revision_id,page_url,checked_at_utc,review_status,review_note
CNUR-000024,吕梁市,吕梁市,true,true,,地级市,Q73186,Q748149,44681,92911958,https://zh.wikipedia.org/wiki/%E5%90%95%E6%A2%81%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000025,呼和浩特市,呼和浩特市,true,true,内蒙古自治区地级市,,Q535534,Q748149,2235,93273290,https://zh.wikipedia.org/wiki/%E5%91%BC%E5%92%8C%E6%B5%A9%E7%89%B9%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000026,包头市,包头市,true,true,,地级市,Q569907,Q748149,2421,93226565,https://zh.wikipedia.org/wiki/%E5%8C%85%E5%A4%B4%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000027,乌海市,乌海市,true,true,,地级市 | 盟,Q570768,Q748149,44688,93132923,https://zh.wikipedia.org/wiki/%E4%B9%8C%E6%B5%B7%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000028,赤峰市,赤峰市,true,true,,,Q570829,Q748149,42828,93132925,https://zh.wikipedia.org/wiki/%E8%B5%A4%E5%B3%B0%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000029,通辽市,通辽市,true,true,,,Q570884,Q748149,44690,93132928,https://zh.wikipedia.org/wiki/%E9%80%9A%E8%BE%BD%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000030,鄂尔多斯市,鄂尔多斯市,true,true,,,Q570937,Q748149,44692,93132932,https://zh.wikipedia.org/wiki/%E9%84%82%E5%B0%94%E5%A4%9A%E6%96%AF%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000031,呼伦贝尔市,呼伦贝尔市,true,true,,地级市 | 地区 | 盟,Q571033,Q748149,44694,93132933,https://zh.wikipedia.org/wiki/%E5%91%BC%E4%BC%A6%E8%B4%9D%E5%B0%94%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000032,巴彦淖尔市,巴彦淖尔市,true,true,,地级市 | 盟,Q571126,Q748149,44699,93132934,https://zh.wikipedia.org/wiki/%E5%B7%B4%E5%BD%A6%E6%B7%96%E5%B0%94%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000033,乌兰察布市,乌兰察布市,true,true,,地级市 | 地区 | 盟,Q571219,Q748149,44697,93132935,https://zh.wikipedia.org/wiki/%E4%B9%8C%E5%85%B0%E5%AF%9F%E5%B8%83%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000034,兴安盟,兴安盟,true,true,,盟,Q1619433,Q288653,44700,92953522,https://zh.wikipedia.org/wiki/%E5%85%B4%E5%AE%89%E7%9B%9F,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000035,锡林郭勒盟,锡林郭勒盟,true,true,,,Q573124,Q288653,44703,92537191,https://zh.wikipedia.org/wiki/%E9%94%A1%E6%9E%97%E9%83%AD%E5%8B%92%E7%9B%9F,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000036,阿拉善盟,阿拉善盟,true,true,,,Q449963,Q288653,44809,93037899,https://zh.wikipedia.org/wiki/%E9%98%BF%E6%8B%89%E5%96%84%E7%9B%9F,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000037,沈阳市,沈阳市,true,true,,,Q11720,Q748149,6948,93273191,https://zh.wikipedia.org/wiki/%E6%B2%88%E9%98%B3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000038,大连市,大连市,true,true,辽宁省地级市,地级市 | 地区,Q74881,Q748149,3493,93159432,https://zh.wikipedia.org/wiki/%E5%A4%A7%E8%BF%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000039,鞍山市,鞍山市,true,true,辽宁省地级市,,Q74957,Q748149,12711,92807654,https://zh.wikipedia.org/wiki/%E9%9E%8D%E5%B1%B1%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000040,抚顺市,抚顺市,true,true,辽宁省地级市,,Q75026,Q748149,501,92526634,https://zh.wikipedia.org/wiki/%E6%8A%9A%E9%A1%BA%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000041,本溪市,本溪市,true,true,,地级市,Q75091,Q748149,44930,92941995,https://zh.wikipedia.org/wiki/%E6%9C%AC%E6%BA%AA%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000042,丹东市,丹东市,true,true,,地级市 | 地区,Q75110,Q748149,42254,93252535,https://zh.wikipedia.org/wiki/%E4%B8%B9%E4%B8%9C%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000043,锦州市,锦州市,true,true,辽宁省地级市,,Q28996,Q748149,12714,92658941,https://zh.wikipedia.org/wiki/%E9%94%A6%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000044,营口市,营口市,true,true,,,Q75150,Q748149,44932,93194677,https://zh.wikipedia.org/wiki/%E8%90%A5%E5%8F%A3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000045,阜新市,阜新市,true,true,,,Q34750,Q748149,12718,92675567,https://zh.wikipedia.org/wiki/%E9%98%9C%E6%96%B0%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000046,辽阳市,辽阳市,true,true,辽宁省地级市,,Q75203,Q748149,12717,93012832,https://zh.wikipedia.org/wiki/%E8%BE%BD%E9%98%B3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000047,盘锦市,盘锦市,true,true,,,Q75230,Q748149,23120,92526805,https://zh.wikipedia.org/wiki/%E7%9B%98%E9%94%A6%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000048,铁岭市,铁岭市,true,true,辽宁省地级市,,Q75268,Q748149,12712,92526824,https://zh.wikipedia.org/wiki/%E9%93%81%E5%B2%AD%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000049,朝阳市,朝阳市,true,true,,地级市 | 地区,Q75336,Q748149,44931,92023513,https://zh.wikipedia.org/wiki/%E6%9C%9D%E9%98%B3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000050,葫芦岛市,葫芦岛市,true,true,辽宁省地级市,,Q75379,Q748149,12713,92855791,https://zh.wikipedia.org/wiki/%E8%91%AB%E8%8A%A6%E5%B2%9B%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000051,长春市,长春市,true,true,吉林省地级市,,Q92161,Q748149,1322,93214221,https://zh.wikipedia.org/wiki/%E9%95%BF%E6%98%A5%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000052,吉林市,吉林市,true,true,吉林省地级市,地级市 | 地区,Q92277,Q748149,12694,93302938,https://zh.wikipedia.org/wiki/%E5%90%89%E6%9E%97%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000053,四平市,四平市,true,true,吉林省地级市,地级市 | 地区,Q92297,Q748149,12695,92526428,https://zh.wikipedia.org/wiki/%E5%9B%9B%E5%B9%B3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000054,辽源市,辽源市,true,true,,,Q92311,Q748149,44938,92454766,https://zh.wikipedia.org/wiki/%E8%BE%BD%E6%BA%90%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000055,通化市,通化市,true,true,吉林省地级市,,Q92324,Q748149,12700,92526441,https://zh.wikipedia.org/wiki/%E9%80%9A%E5%8C%96%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000056,白山市 (吉林省),白山市 (吉林省),true,true,吉林省地级市,,Q92348,Q748149,12697,92031810,https://zh.wikipedia.org/wiki/%E7%99%BD%E5%B1%B1%E5%B8%82_(%E5%90%89%E6%9E%97%E7%9C%81),2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000057,松原市 (吉林省),松原市 (吉林省),true,true,吉林省地级市,地级市,Q92364,Q748149,7596,92992513,https://zh.wikipedia.org/wiki/%E6%9D%BE%E5%8E%9F%E5%B8%82_(%E5%90%89%E6%9E%97%E7%9C%81),2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000058,白城市,白城市,true,true,,,Q92381,Q748149,44941,91318902,https://zh.wikipedia.org/wiki/%E7%99%BD%E5%9F%8E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000059,延边朝鲜族自治州,延边朝鲜族自治州,true,true,,自治州 | 地区,Q714984,Q788104,44942,93291613,https://zh.wikipedia.org/wiki/%E5%BB%B6%E8%BE%B9%E6%9C%9D%E9%B2%9C%E6%97%8F%E8%87%AA%E6%B2%BB%E5%B7%9E,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000060,哈尔滨市,哈尔滨市,true,true,黑龙江省地级市,地区,Q42956,Q748149,3515,93363854,https://zh.wikipedia.org/wiki/%E5%93%88%E5%B0%94%E6%BB%A8%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000061,齐齐哈尔市,齐齐哈尔市,true,true,黑龙江省地级市,,Q205922,Q748149,8240,93145298,https://zh.wikipedia.org/wiki/%E9%BD%90%E9%BD%90%E5%93%88%E5%B0%94%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000062,鸡西市,鸡西市,true,true,黑龙江省地级市,,Q28979,Q748149,12686,93085009,https://zh.wikipedia.org/wiki/%E9%B8%A1%E8%A5%BF%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000063,鹤岗市,鹤岗市,true,true,黑龙江省地级市,,Q349982,Q748149,12687,93087216,https://zh.wikipedia.org/wiki/%E9%B9%A4%E5%B2%97%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000064,双鸭山市,双鸭山市,true,true,,地级市,Q349973,Q748149,45340,92526012,https://zh.wikipedia.org/wiki/%E5%8F%8C%E9%B8%AD%E5%B1%B1%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000065,大庆市,大庆市,true,true,黑龙江省地级市,地级市,Q304848,Q748149,12688,93079915,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%BA%86%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000066,伊春市,伊春市,true,true,,地级市 | 自治州,Q349976,Q748149,45342,92526169,https://zh.wikipedia.org/wiki/%E4%BC%8A%E6%98%A5%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000067,佳木斯市,佳木斯市,true,true,,地级市 | 地级行政区 | 自治州 | 地区,Q29003,Q748149,45338,93300570,https://zh.wikipedia.org/wiki/%E4%BD%B3%E6%9C%A8%E6%96%AF%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000068,七台河市,七台河市,true,true,,地级市,Q349979,Q748149,45341,90896225,https://zh.wikipedia.org/wiki/%E4%B8%83%E5%8F%B0%E6%B2%B3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000069,牡丹江市,牡丹江市,true,true,,,Q217646,Q748149,45339,92746425,https://zh.wikipedia.org/wiki/%E7%89%A1%E4%B8%B9%E6%B1%9F%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000070,黑河市,黑河市,true,true,,,Q349983,Q748149,45344,93300659,https://zh.wikipedia.org/wiki/%E9%BB%91%E6%B2%B3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000071,绥化市,绥化市,true,true,,,Q349985,Q748149,45345,92526311,https://zh.wikipedia.org/wiki/%E7%BB%A5%E5%8C%96%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000072,大兴安岭地区,大兴安岭地区,true,true,,地级行政区 | 地区,Q984457,,45346,91874738,https://zh.wikipedia.org/wiki/%E5%A4%A7%E5%85%B4%E5%AE%89%E5%B2%AD%E5%9C%B0%E5%8C%BA,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000073,上海市,上海市,true,true,,地区,Q8686,,235,93349342,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E5%B8%82,2026-07-11T07:50:47+00:00,verified,municipality rule
CNUR-000074,南京市,南京市,true,true,,地区,Q16666,Q748149,2980,93279038,https://zh.wikipedia.org/wiki/%E5%8D%97%E4%BA%AC%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000075,无锡市,无锡市,true,true,江苏省地级市,地级市 | 地区,Q42651,Q748149,10832,93142558,https://zh.wikipedia.org/wiki/%E6%97%A0%E9%94%A1%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000076,徐州市,徐州市,true,true,,地级市,Q57719,Q748149,18411,93000032,https://zh.wikipedia.org/wiki/%E5%BE%90%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000077,常州市,常州市,true,true,,,Q57970,Q748149,17407,93363957,https://zh.wikipedia.org/wiki/%E5%B8%B8%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000078,苏州市,苏州市,true,true,江苏省地级市,,Q42622,Q748149,1168,93299643,https://zh.wikipedia.org/wiki/%E8%8B%8F%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000079,南通市,南通市,true,true,江苏省地级市,地级市 | 地区,Q57947,Q748149,12565,93135299,https://zh.wikipedia.org/wiki/%E5%8D%97%E9%80%9A%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000080,连云港市,连云港市,true,true,,,Q57756,Q748149,37596,92493999,https://zh.wikipedia.org/wiki/%E8%BF%9E%E4%BA%91%E6%B8%AF%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000081,淮安市,淮安市,true,true,,,Q57818,Q748149,45356,91513228,https://zh.wikipedia.org/wiki/%E6%B7%AE%E5%AE%89%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000082,盐城市,盐城市,true,true,,,Q57866,Q748149,19316,93381570,https://zh.wikipedia.org/wiki/%E7%9B%90%E5%9F%8E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000083,扬州市,扬州市,true,true,,地级市 | 地区,Q57906,Q748149,17588,93216934,https://zh.wikipedia.org/wiki/%E6%89%AC%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000084,镇江市,镇江市,true,true,,,Q57958,Q748149,25360,92995303,https://zh.wikipedia.org/wiki/%E9%95%87%E6%B1%9F%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000085,泰州市,泰州市,true,true,,地级市 | 地区,Q57931,Q748149,45352,92995385,https://zh.wikipedia.org/wiki/%E6%B3%B0%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000086,宿迁市,宿迁市,true,true,,地级市,Q57787,Q748149,45353,92494225,https://zh.wikipedia.org/wiki/%E5%AE%BF%E8%BF%81%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000087,杭州市,杭州市,true,true,浙江省地级市,地级市 | 地区,Q4970,Q748149,4651,93301721,https://zh.wikipedia.org/wiki/%E6%9D%AD%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000088,宁波市,宁波市,true,true,浙江省地级市,,Q42780,Q748149,10997,93184061,https://zh.wikipedia.org/wiki/%E5%AE%81%E6%B3%A2%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000089,温州市,温州市,true,true,浙江省地级市,,Q42635,Q748149,10244,93133727,https://zh.wikipedia.org/wiki/%E6%B8%A9%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000090,嘉兴市,嘉兴市,true,true,,地级市,Q58178,Q748149,25172,93198932,https://zh.wikipedia.org/wiki/%E5%98%89%E5%85%B4%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000091,湖州市,湖州市,true,true,浙江省地级市,,Q42664,Q748149,12533,91689707,https://zh.wikipedia.org/wiki/%E6%B9%96%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000092,绍兴市,绍兴市,true,true,浙江省地级市,,Q42666,Q748149,6652,93301637,https://zh.wikipedia.org/wiki/%E7%BB%8D%E5%85%B4%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000093,金华市,金华市,true,true,,,Q58210,Q748149,301104,93133886,https://zh.wikipedia.org/wiki/%E9%87%91%E5%8D%8E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000094,衢州市,衢州市,true,true,浙江省地级市,,Q58235,Q748149,15445,92408201,https://zh.wikipedia.org/wiki/%E8%A1%A2%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000095,舟山市,舟山市,true,true,,,Q58324,Q748149,44552,93024000,https://zh.wikipedia.org/wiki/%E8%88%9F%E5%B1%B1%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000096,台州市,台州市,true,true,,地级市,Q58273,Q748149,45443,93286827,https://zh.wikipedia.org/wiki/%E5%8F%B0%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000097,丽水市,丽水市,true,true,浙江省地级市,地级市,Q58294,Q748149,15601,93125828,https://zh.wikipedia.org/wiki/%E4%B8%BD%E6%B0%B4%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000098,合肥市,合肥市,true,true,,地级市 | 地区 | 盟,Q185684,Q748149,657,93267883,https://zh.wikipedia.org/wiki/%E5%90%88%E8%82%A5%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000099,芜湖市,芜湖市,true,true,,,Q359990,Q748149,884929,93041193,https://zh.wikipedia.org/wiki/%E8%8A%9C%E6%B9%96%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000100,蚌埠市,蚌埠市,true,true,安徽省地级市,,Q360069,Q748149,8498,93273008,https://zh.wikipedia.org/wiki/%E8%9A%8C%E5%9F%A0%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000101,淮南市,淮南市,true,true,,,Q360178,Q748149,42829,92564903,https://zh.wikipedia.org/wiki/%E6%B7%AE%E5%8D%97%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000102,马鞍山市,马鞍山市,true,true,,,Q360235,Q748149,46158,93306571,https://zh.wikipedia.org/wiki/%E9%A9%AC%E9%9E%8D%E5%B1%B1%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000103,淮北市,淮北市,true,true,,地级市,Q360268,Q748149,46160,92564951,https://zh.wikipedia.org/wiki/%E6%B7%AE%E5%8C%97%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000104,铜陵市,铜陵市,true,true,,,Q360326,Q748149,46159,93267728,https://zh.wikipedia.org/wiki/%E9%93%9C%E9%99%B5%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000105,安庆市,安庆市,true,true,安徽省地级市,地级市,Q360374,Q748149,11208,93297026,https://zh.wikipedia.org/wiki/%E5%AE%89%E5%BA%86%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000106,黄山市,黄山市,true,true,安徽省地级市,,Q180470,Q748149,9952,93119201,https://zh.wikipedia.org/wiki/%E9%BB%84%E5%B1%B1%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000107,滁州市,滁州市,true,true,安徽省地级市,,Q114045,Q748149,12771,93327254,https://zh.wikipedia.org/wiki/%E6%BB%81%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000108,阜阳市,阜阳市,true,true,,,Q360584,Q748149,26078,92675746,https://zh.wikipedia.org/wiki/%E9%98%9C%E9%98%B3%E5%B8%82,2026-07-11T07:50:47+00:00,verified,wikidata instance evidence
CNUR-000109,宿州市,宿州市,true,true,,地级市,Q360643,Q748149,46162,92565101,https://zh.wikipedia.org/wiki/%E5%AE%BF%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000110,巢湖市 (地级市),巢湖市 (地级市),true,true,,地级市 | 地区,Q15902569,,1643511,92989534,https://zh.wikipedia.org/wiki/%E5%B7%A2%E6%B9%96%E5%B8%82_(%E5%9C%B0%E7%BA%A7%E5%B8%82),2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000111,六安市,六安市,true,true,,地级市,Q360702,Q748149,40492,92565127,https://zh.wikipedia.org/wiki/%E5%85%AD%E5%AE%89%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000112,亳州市,亳州市,true,true,安徽省地级市,地级市,Q360769,Q748149,192,92565160,https://zh.wikipedia.org/wiki/%E4%BA%B3%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
CNUR-000113,池州市,池州市,true,true,,地级市,Q360870,Q748149,46163,92565174,https://zh.wikipedia.org/wiki/%E6%B1%A0%E5%B7%9E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,intro evidence
CNUR-000114,宣城市,宣城市,true,true,安徽省地级市,地级市 | 地区,Q360942,Q748149,16476,92565191,https://zh.wikipedia.org/wiki/%E5%AE%A3%E5%9F%8E%E5%B8%82,2026-07-11T07:50:47+00:00,verified,category evidence
